keyword,url,title,current_price,thumbnail_url
ipad,https://www.jumia.co.ke/apple-magic-keyboard-for-ipad-pro-12.9-inch-279544466.html,Apple Magic Keyboard For IPad Pro 12.9-inch ,"KSh 50,000",https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/66/4445972/1.jpg?1407
ipad,https://www.jumia.co.ke/apple-magic-keyboard-folio-for-ipad-10th-generation-279464560.html,Apple Magic Keyboard Folio For IPad (10th Generation),"KSh 38,000",https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/06/5464972/1.jpg?8155
ipad,https://www.jumia.co.ke/generic-brs-bt02-mini-bluetooth-wireless-handheld-barcode-scanner-1d-2d-267987310.html,BRS-BT02 Mini bluetooth wireless handheld barcode scanner 1D 2D,"KSh 8,000",https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/01/3789762/1.jpg?8364
ipad,https://www.jumia.co.ke/customer/account/login/?tkWl=AP044MP1X1UACNAFAMZ-160669334&return=%2Fcatalog%2F%3Fq%3Dipad%26page%3D1,"Apple MacBook Air M1 13"" 8GB RAM 256GB SSD With Retina Display","KSh 125,000",https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/15/9794121/1.jpg?9609
ipad,https://www.jumia.co.ke/customer/account/login/?tkWl=AP044EA2SZP23NAFAMZ-201483839&return=%2Fcatalog%2F%3Fq%3Dipad%26page%3D1,Apple IPAD SMART KEYBOARD,"KSh 48,000",https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/69/6270351/1.jpg?9564
ipad,https://www.jumia.co.ke/magic-keyboard-for-ipad-pro-12.9-inch-apple-mpg5511136.html,Apple Magic Keyboard For IPad Pro 12.9-inch,"KSh 44,000",https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/48/8844972/1.jpg?4167
ipad,https://www.jumia.co.ke/customer/account/login/?tkWl=AP044MP3AOQPZNAFAMZ-181072061&return=%2Fcatalog%2F%3Fq%3Dipad%26page%3D1,Apple 2022 10.9-inch IPad (Wi-Fi 64GB) - Yellow (10th Generation),"KSh 84,000",https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/99/3490631/1.jpg?7675
ipad,https://www.jumia.co.ke/customer/account/login/?tkWl=AP044MP23G2WDNAFAMZ-180388188&return=%2Fcatalog%2F%3Fq%3Dipad%26page%3D1,"Apple 2022 10.9-inch IPad (Wi-Fi + Cellular, 64GB) - Blue (10th Generation)","KSh 68,000",https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/26/7214531/1.jpg?6012
ipad,https://www.jumia.co.ke/apple-magic-keyboard-for-ipad-pro-12.9-inch-279444569.html,Apple  Magic Keyboard for iPad Pro 12.9 inch,"KSh 43,000",https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/96/5444972/1.jpg?8335
ipad,https://www.jumia.co.ke/customer/account/login/?tkWl=AP044MP38YN2BNAFAMZ-153683355&return=%2Fcatalog%2F%3Fq%3Dipad%26page%3D1,Apple IPad 2022 10th Generation 64GB Wi-Fi,"KSh 83,000",https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/96/4516511/1.jpg?7194
